48,测得某电路板上晶体三极管3个电极对地的直流电位分别为VE＝3V，VB＝3.7V，VC＝3.3V，则该管工作在(　)。,放大区,饱和区,截止区,击穿区,B
49,双极型半导体器件是(　)。,二极管,三极管,场效应管,稳压管,B
50,分压式偏置的共发射极放大电路中，若VB点电位过高，电路易出现(　)。,截止失真,饱和失真,晶体管被烧损,双向失真,B
51,如图所示，该电路的反馈类型为(　)。,电压串联负反馈,电压并联负反馈,电流串联负反馈,电流并联负反馈,D
52,用螺丝刀拧紧可能带电的螺钉时，手指应该(　)螺丝刀的金属部分。,接触,压住,抓住,不接触,D
53,钢丝钳（电工钳子）可以用来剪切(　)。,细导线,玻璃管,铜条,水管,A
54,各种绝缘材料的(　)的各种指标是抗张、抗压、抗弯、抗剪、抗撕、抗冲击等各种强度指标。,接绝缘电阻,击穿强度,机械强度,耐热性,C
55,交流接触器一般用于控制(　)的负载。,弱电,无线电,直流电,交流电,D
56,对于△接法的异步电动机应选用(　)结构的热继电器。,四相,三相,两相,单相,B
57,中间继电器的选用依据是控制电路的(　)、电流类型、所需触点的数量和容量等。,短路电流,电压等级,阻抗大小,绝缘等级,B
58,BK系列控制变压器适用于机械设备中一般电器的(　)、局部照明及指示电源。,电动机,油泵,控制电源,压缩机,D
59,压力继电器选用时首先要考虑所测对象的压力范围，还要符合电路中的额定电压，(　)，所测管路接口管径的大小。,触点的功率因数,触点的电阻率,触点的绝缘等级,触点的电流容量,D
60,当检测远距离的的物体时，应优先选用(　)光电开关。,光纤式,槽式,对射式,漫反射式,A
61,下列(　)场所，有可能造成光电开关的误动作，应尽量避开。,办公室,高层建筑,气压低,灰尘较多,D
62,高频振荡电感型接近开关主要由感应头、振荡器、开关器、(　)等组成。,输出电路,继电器,发光二极管,光电三极管,A
63,高频振荡电感型接近开关的感应头附近有金属物体接近时，接近开关(　)。,涡流损耗减少,无信号输出,振荡电路工作,振荡减弱或停止,D
64,接近开关的图形符号中，其菱形部分与常开触点部分用(　)相连。,虚线,实线,双虚线,双实线,A
65,当检测体为(　)时，应选用电容型接近开关。,透明材料,不透明材料,金属材料,非金属材料,D
66,选用接近开关时应注意对工作电压、(　)、响应频率、检测距离等各项指标的要求。,工作速度,工作频率,负载电流,工作功率,C
67,磁性开关可以由(　)构成。,接触器和按钮,二极管和电磁铁,三极管和永久磁铁,永久磁铁和干簧管,D
68,磁性开关中的干簧管是利用(　)来控制的一种开关元件。,磁场信号,压力信号,温度信号,电流信号,A
69,磁性开关的图形符号中，其菱形部分与常开触点部分用(　)相连。,虚线,实线,双虚线,双实线,A
70,磁性开关用于(　)场所时应选金属材质的器件。,化工企业,真空低压,强酸强碱,高温高压,D
71,磁性开关在使用时要注意磁铁与(　)之间的有效距离在10mm左右。,干簧管,磁铁,触点,外壳,A
72,增量式光电编码器主要由(　)、码盘、检测光栅、光电检测器件和转换电路组成。,光电三极管,运算放大器,脉冲发生器,光源,D
73,增量式光电编码器每产生一个(　)就对应于一个增量位移。,输出脉冲信号,输出电流信号,输出电压信号,输出光脉冲,A
74,可以根据增量式光电编码器单位时间内的脉冲数量测出(　)。,相对位置,绝对位置,轴加速度,旋转速度,D
75,增量式光电编码器根据信号传输距离选型时要考虑(　)。,输出信号类型,电源频率,环境温度,空间高度,A
76,增量式光电编码器配线延长时，应在(　)以下。,1km,100m,1m,10m,D
77,下列选项不是PLC的特点(　)。,抗干扰能力强,编程方便,安装调试方便,功能单一,D
78,可编程序控制器采用大规模集成电路构成的(　)和存储器来组成逻辑部分。,运算器,微处理器,控制器,累加器,B
79,FX2N系列可编程序控制器计数器用(　)表示。,X,Y,T,C,D
80,可编程序控制器通过编程可以灵活地改变(　)，实现改变常规电气控制电路的目的。,主电路,硬接线,控制电路,控制程序,D
81,在一个程序中，同一地址号的线圈(　)次输出，且继电器线圈不能串联只能并联。,只能有一,只能有二,只能有三,无限,A
82,FX2N系列可编程序控制器输入隔离采用的形式是(　)。,变压器,电容器,光电耦合器,发光二极管,C
83,可编程序控制器(　)中存放的随机数据掉电即丢失。,RAM,ROM,EEPROM,以上都是,A
84,可编程控制器在RUN模式下，执行顺序是(　)。,输入采样→执行用户程序→输出刷新,执行用户程序→输入采样→输出刷新,输入采样→输出刷新→执行用户程序,以上都不对,A
85,PLC(　)阶段把逻辑解读的结果，通过输出部件输出给现场的受控元件。,输出采样,输入采样,程序执行,输出刷新,D
86,用PLC控制可以节省大量继电器接触器控制电路中的(　)。,交流接触器,熔断器,开关,中间继电器和时间继电器,D
87,FX2N-20MT可编程序控制器表示(　)类型。,继电器输出,晶闸管输出,晶体管输出,单结晶体管输出,C
88,下列选项(　)不是可编程序控制器的抗干扰措施。,可靠接地,电源滤波,晶体管输出,光电耦合器,C
89,FX2N系列可编程序控制器输入常开点用(　)指令。,LD,LDI,OR,ORI,A
90,PLC梯形图编程时，右端输出继电器的线圈只能并联(　)个。,三,二,一,不限,D
91,PLC控制程序，由(　)部分构成。,一,二,三,无限,C
92,(　)是可编程序控制器使用较广的编程方式。,功能表图,梯形图,位置图,逻辑图,B
93,在FX2NPLC中，T0的定时精度为(　)。,10ms,100ms,1s,1ms,B
94,对于简单的PLC梯形图设计时，一般采用(　)。,子程序,顺序控制设计法,经验法,中断程序,C
95,FX2NPLC的通信口是(　)模式。,RS232,RS485,RS422,USB,C
96,三菱GXDeveloperPLC编程软件可以对(　)PLC进行编程。,A系列,Q系列,FX系列,以上都可以,D
97,将程序写入可编程序控制器时，首先将存储器清零，然后按操作说明写入(　)，结束时用结束指令。,地址,程序,指令,序号,B
98,对于晶体管输出型可编程序控制器其所带负载只能是额定(　)电源供电。,交流,直流,交流或直流,高压直流,B
99,对于可编程序控制器电源干扰的抑制，一般采用隔离变压器和(　)来解决。,直流滤波器,交流滤波器,直流发电机,交流整流器,B
100,根据电动机自动往返梯形图，下列指令正确的是(　)。,LDIX002,ANDX001,ORY002,ANDY001,C
101,FX编程器的显示内容包括地址、数据、(　)、指令执行情况和系统工作状态等。,程序,参数,工作方式,位移储存器,C
102,对于晶闸管输出型PLC，要注意负载电源为(　)，并且不能超过额定值。,AC600V,AC220V,DC220V,DC24V,B
103,变频器是通过改变交流电动机定子电压、频率等参数来(　)的装置。,调节电动机转速,调节电动机转矩,调节电动机功率,调节电动机性能,A
104,交—交变频装置输出频率受限制，最高频率不超过电网频率的(　)，所以通常只适用于低速大功率拖动系统。,1月2日,3月4日,1月5日,2月3日,A
105,在通用变频器主电路中的电源整流器件较多采用(　)。,快恢复二极管,普通整流二极管,肖特基二极管,普通晶闸管,B
106,富士紧凑型变频器是(　)。,E11S系列,FRENIC-Mini系列,G11系列,VG7-UD系列,A
107,变频器常见的各种频率给定方式中，最易受干扰的方式是(　)方式。,键盘给定,模拟电压信号给定,模拟电流信号给定,通信方式给定,B
108,在变频器的几种控制方式中，其动态性能比较的结论是：(　)。,转差型矢量控制系统优于无速度检测器的矢量控制系统,U/f控制优于转差频率控制,转差频率控制优于矢量控制,无速度检测器的矢量控制系统优于转差型矢量控制系统,A
109,变频器的干扰有：电源干扰、地线干扰、串扰、公共阻抗干扰等。尽量缩短电源线和地线是竭力避免(　)。,电源干扰,地线干扰,串扰,公共阻抗干扰,D
110,西门子MM440变频器可通过USS串行接口来控制其启动、停止（命令信号源）及(　)。,频率输出大小,电机参数,直流制动电流,制动起始频率,A
111,西门子MM420变频器的主电路电源端子(　)需经交流接触器和保护用断路器与三相电源连接。但不宜采用主电路的通、断进行变频器的运行与停止操作。,X、Y、Z,U、V、W,L1、L2、L3,,C
112,交流电动机最佳的启动效果是：(　)。,启动电流越小越好,启动电流越大越好,（可调）恒流启动,（可调）恒压启动,C
113,用于标准电路正常启动设计的西门子软启动器型号是：(　)。,3RW30,3RW31,3RW22,3RW34,C
114,变频启动方式比软启动器的启动转矩(　)。,大,小,一样,小很多,A
115,软启动器的功能调节参数有：运行参数、(　)、停车参数。,电阻参数,启动参数,电子参数,电源参数,B
116,笼形异步电动机启动时冲击电流大，是因为启动时(　)。,电动机转子绕组电动势大,电动机温度低,电动机定子绕组频率低,电动机的启动转矩大,A
117,软启动器主电路中接三相异步电动机的端子是(　)。,C,X、Y、Z,U1、V1、W1,L1、L2、L3,C
118,软启动器对(　)负载应采取加突跳转矩控制的启动方式。,水泵类,风机类,静阻力矩较大的,静阻力矩较小的,C
119,软启动器进行启动操作后，电动机运转，但长时间达不到额定值。此故障不可能的原因是(　)。,启动参数不合适,晶闸管模块故障,启动控制方式不当,启动线路接线错误,D
120,高频振荡电感型接近开关主要由感应头、振荡器、(　)、输出电路等组成。,继电器,开关器,发光二极管,光电三极管,B
121,高频振荡电感型接近开关的感应头附近无金属物体接近时，接近开关(　)。,无信号输出,有信号输出,振荡减弱,产生涡流损耗,A
122,接近开关的图形符号中，其菱形部分与常开触点部分用(　)相连。,虚线,实线,双虚线,双实线,A
123,当检测体为(　)时，应选用高频振荡型接近开关。,透明材料,不透明材料,金属材料,非金属材料,C
124,选用接近开关时应注意对工作电压、(　)、响应频率、检测距离等各项指标的要求。,工作速度,工作频率,负载电流,工作功率,C
125,磁性开关可以由(　)构成。,接触器和按钮,二极管和电磁铁,三极管和永久磁铁,永久磁铁和干簧管,D
126,磁性开关中的干簧管是利用(　)来控制的一种开关元件。,磁场信号,压力信号,温度信号,电流信号,A
127,磁性开关的图形符号中，其常开触点部分与(　)的符号相同。,断路器,一般开关,热继电器,时间继电器,B
128,磁性开关在使用时要注意磁铁与(　)之间的有效距离在10mm左右。,干簧管,磁铁,触点,外壳,A
129,增量式光电编码器主要由(　)、码盘、检测光栅、光电检测器件和转换电路组成。,光电三极管,运算放大器,脉冲发生器,光源,D
130,增量式光电编码器每产生一个(　)就对应于一个增量位移。,输出脉冲信号,输出电流信号,输出电压信号,输出光脉冲,A
131,可以根据增量式光电编码器单位时间内的脉冲数量测出(　)。,相对位置,绝对位置,轴加速度,旋转速度,D
132,增量式光电编码器根据输出信号的可靠性选型时要考虑(　)。,电源频率,最大分辨速度,环境温度,空间高度,B
133,增量式光电编码器接线时，应在电源(　)下进行。,接通状态,断开状态,电压较低状态,电压正常状态,B
134,可编程序控制器采用了一系列可靠性设计，如(　)、掉电保护、故障诊断和信息保护及恢复等。,简单设计,简化设计,冗余设计,功能设计,C
135,可编程序控制器通过编程，灵活地改变其控制程序，相当于改变了继电器控制的(　)。,主电路,自锁电路,互锁电路,控制电路,D
136,可编程序控制器系统由基本单元、(　)、编程器、用户程序、程序存入器等组成。,键盘,鼠标,扩展单元,外围设备,C
137,FX2N系列可编程序控制器计数器用(　)表示。,X,Y,T,C,D
138,可编程序控制器由(　)组成。,输入部分、逻辑部分和输出部分,输入部分和逻辑部分,输入部分和输出部分,逻辑部分和输出部分,A
139,FX2N系列可编程序控制器梯形图规定串联和并联的触点数是(　)。,有限的,无限的,最多4个,最多7个,B
140,FX2N系列可编程序控制器光电耦合器有效输入电平形式是(　)。,高电平,低电平,高电平或低电平,以上都是,B
141,可编程控制器在RUN模式下，执行顺序是(　)。,输入采样→执行用户程序→输出刷新,执行用户程序→输入采样→输出刷新,输入采样→输出刷新→执行用户程序,以上都不对,A
142,可编程序控制器停止时，(　)阶段停止执行。,程序执行,存储器刷新,传感器采样,输入采样,A
143,FX2N可编程序控制器(　)输出反应速度比较快。,继电器型,晶体管和晶闸管型,晶体管和继电器型,继电器和晶闸管型,B
144,对于PLC晶体管输出，带感性负载时，需要采取(　)的抗干扰措施。,在负载两端并联续流二极管和稳压管串联电路,电源滤波,可靠接地,光电耦合器,A
145,FX2N系列可编程序控制器中回路并联连接用(　)指令。,AND,ANI,ANB,ORB,D
146,在FX2NPLC中，M8000线圈用户可以使用(　)次。,3,2,1,0,D
147,PLC控制程序，由(　)部分构成。,一,二,三,无限,C
148,可编程序控制器的梯形图规定串联和并联的触点数是(　)。,有限的,无限的,最多8个,最多16个,B
149,在FX2NPLC中，(　)是积算定时器。,T0,T100,T245,T255,D
150,对于复杂的PLC梯形图设计时，一般采用(　)。,经验法,顺序控制设计法,子程序,中断程序,B
151,FX2NPLC的通信口是(　)模式。,RS232,RS485,RS422,USB,C
152,三菱GXDeveloperPLC编程软件可以对(　)PLC进行编程。,A系列,Q系列,FX系列,以上都可以,D
153,对于继电器输出型可编程序控制器其所带负载只能是额定(　)电源供电。,交流,直流,交流或直流,低压直流,C
154,对于可编程序控制器电源干扰的抑制，一般采用隔离变压器和(　)来解决。,直流滤波器,交流滤波器,直流发电机,交流整流器,B
155,为避免程序和(　)丢失，可编程序控制器装有锂电池，当锂电池电压降至相应的信号灯亮时，要及时更换电池。,地址,序号,指令,数据,D
156,根据电机正反转梯形图，下列指令正确的是(　)。,ORIY002,LDIX001,ANDX000,ANDIX002,D
157,根据电动机顺序启动梯形图，下列指令正确的是(　)。,LDIT20,ANDX001,OUTY002,ANDX002,C
158,根据电动机自动往返梯形图，下列指令正确的是(　)。,LDIX002,ANDX001,ORY002,ANDY001,C
159,FX编程器的显示内容包括地址、数据、工作方式、(　)情况和系统工作状态等。,位移储存器,参数,程序,指令执行,D
160,对于晶闸管输出型PLC，要注意负载电源为(　)，并且不能超过额定值。,AC600V,AC220V,DC220V,DC24V,B
161,变频器是通过改变交流电动机定子电压、频率等参数来(　)的装置。,调节电动机转速,调节电动机转矩,调节电动机功率,调节电动机性能,A
162,交—交变频装置输出频率受限制，最高频率不超过电网频率的(　)，所以通常只适用于低速大功率拖动系统。,1月2日,3月4日,1月5日,2月3日,A
163,在通用变频器主电路中的电源整流器件较多采用(　)。,快恢复二极管,普通整流二极管,肖特基二极管,普通晶闸管,B
164,富士紧凑型变频器是(　)。,E11S系列,FRENIC-Mini系列,G11系列,VG7-UD系列,A
165,变频器在额定电压和基准频率下恒转矩调速时，用户应选择的U/f线是(　)。,线性补偿,分段（折线型）补偿,平方率补偿,以上均可,A
166,(　)是变频器对电动机进行恒功率控制和恒转矩控制的分界线，应按电动机的额定频率设定。,基本频率,最高频率,最低频率,上限频率,A
167,变频器的干扰有：电源干扰、地线干扰、串扰、公共阻抗干扰等。尽量缩短电源线和地线是竭力避免(　)。,电源干扰,地线干扰,串扰,公共阻抗干扰,D
168,变频器中的直流制动是克服低速爬行现象而设置的，拖动负载惯性越大，(　)设定值越高。,直流制动电压,直流制动时间,直流制动电流,制动起始频率,A
169,西门子MM420变频器的主电路电源端子(　)需经交流接触器和保护用断路器与三相电源连接。但不宜采用主电路的通、断进行变频器的运行与停止操作。,X、Y、Z,U、V、W,L1、L2、L3,,C
170,一台使用多年的250kW电动机拖动鼓风机，经变频改造运行二个月后常出现过流跳闸。故障的原因可能是(　)。,变频器选配不当,变频器参数设置不当,变频供电的高频谐波使电机绝缘加速老化,负载有时过重,C
171,交流电动机最佳的启动效果是：(　)。,启动电流越小越好,启动电流越大越好,（可调）恒流启动,（可调）恒压启动,C
172,软启动器中晶闸管调压电路采用(　)时，主电路中电流谐波最小。,三相全控Y连接,三相全控Y0连接,三相半控Y连接,星三角连接,A
173,用于标准电路正常启动设计的西门子软启动器型号是：(　)。,3RW30,3RW31,3RW22,3RW34,C
174,软启动器的启动转矩比变频启动方式(　)。,大,小,一样,大很多,B
175,软启动器的功能调节参数有：运行参数、(　)、停车参数。,电阻参数,启动参数,电子参数,电源参数,B
176,水泵停车时，软起动器应采用(　)。,自由停车,软停车,能耗制动停车,反接制动停车,B
177,软启动器(　)常用于短时重复工作的电动机。,跨越运行模式,接触器旁路运行模式,节能运行模式,调压调速运行模式,C
178,软启动器启动完成后，旁路接触器刚动作就跳闸。故障原因可能是(　)。,启动参数不合适,晶闸管模块故障,启动控制方式不当,旁路接触器与软启动器的接线相序不一致。,D
179,软启动器旁路接触器必须与软启动器的输入和输出端一一对应接正确，(　)。,要就近安装接线,允许变换相序,不允许变换相序,要做好标识,C
180,为了促进企业的规范化发展，需要发挥企业文化的(　)功能。,娱乐,主导,决策,自律,D
181,关于创新的正确论述是(　)。,不墨守成规，但也不可标新立异,企业经不起折腾，大胆地闯早晚会出问题,创新是企业发展的动力,创新需要灵感，但不需要情感,C
182,制止损坏企业设备的行为，(　)。,只是企业领导的责任,对普通员工没有要求,是每一位员工和领导的责任和义务,不能影响员工之间的关系,C
183,下面说法中不正确的是(　)。,下班后不要穿工作服,不穿奇装异服上班,上班时要按规定穿整洁的工作服,女职工的工作服越艳丽越好,D
184,一般电路由(　)、负载和中间环节三个基本部分组成。,电线,电压,电流,电源,D
185,有“220V、100W”和“220V、25W”白炽灯两盏，串联后接入220V交流电源，其亮度情况是(　)。,100W灯泡最亮,25W灯泡最亮,两只灯泡一样亮,两只灯泡一样暗,B
186,磁感应强度B与磁场强度H的关系为(　)。,H=μB,B=μH,H=μ0B,B=μ0B,B
187,把垂直穿过磁场中某一截面的磁力线条数叫作(　)。,磁通或磁通量,磁感应强度,磁导率,磁场强度,A
188,正弦量有效值与最大值之间的关系，正确的是(　)。,E=Em/,U=Um/2,Iav=2/π*Em,Eav=Em/2,A
189,三相电动势到达最大的顺序是不同的，这种达到最大值的先后次序，称三相电源的相序，相序为U-V-W-U，称为(　)。,正序,负序,逆序,相序,A
190,变压器的基本作用是在交流电路中变电压、变电流、变阻抗、(　)和电气隔离。,变磁通,变相位,变功率,变频率,B
191,行程开关的文字符号是(　)。,QS,SQ,SA,KM,B
192,"(　)以电气原理图,安装接线图和平面布置图最为重要。",电工,操作者,技术人员,维修电工,D
193,三极管的fα高于等于(　)为高频管。,1MHz,2MHz,3MHz,4MHz,C
194,根据仪表取得读数的方法可分为(　)。,指针式,数字式,记录式,以上都是,D
195,拧螺钉时应该选用(　)。,规格一致的螺丝刀,规格大一号的螺丝刀，省力气,规格小一号的螺丝刀，效率高,全金属的螺丝刀，防触电,A
196,喷灯使用完毕，应将剩余的燃料油(　)，将喷灯污物擦除后，妥善保管。,烧净,保存在油筒内,倒掉,倒出回收,D
197,火焰与带电体之间的最小距离，10KV及以下为(　)m。,1.5,2,3,2.5,A
198,文明生产要求零件、半成品、(　)放置整齐，设备仪器保持良好状态。,原料,工夹量具,服装,电表,B
199,调节电桥平衡时，若检流计指针向标有“－”的方向偏转时，说明(　)。,通过检流计电流大、应增大比较臂的电阻,通过检流计电流小、应增大比较臂的电阻,通过检流计电流小、应减小比较臂的电阻,通过检流计电流大、应减小比较臂的电阻,C
200,直流双臂电桥达到平衡时，被测电阻值为(　)。,倍率读数与可调电阻相乘,倍率读数与桥臂电阻相乘,桥臂电阻与固定电阻相乘,桥臂电阻与可调电阻相乘,A
201,直流单臂电桥和直流双臂电桥的测量端数目分别为(　)。,2、4,4、2,2、3,3、2,A
202,低频信号发生器的输出有(　)输出。,电压、电流,电压、功率,电流、功率,电压、电阻,B
203,数字万用表按量程转换方式可分为(　)类。,5,3,4,2,B
204,晶体管特性图示仪可观测(　)特性曲线。,共基极,共集电极,共发射极,以上都是,D
205,一般TTL与非门电路的扇出系数通常为(　)以上。,8,5,10,20,A
206,晶闸管型号KS20-8中的S表示(　)。,双层,双向,三层,三极,B
207,普通晶闸管边上P层的引出极是(　)。,漏极,阴极,门极,阳极,D
208,普通晶闸管的额定电流是以工频(　)电流的平均值来表示的。,三角波,方波,正弦半波,正弦全波,C
209,单结晶体管的结构中有(　)个电极。,4,3,2,1,B
210,单结晶体管两个基极的文字符号是(　)。,C1、C2,D1、D2,E1、E2,B1、B2,D
211,集成运放通常有(　)部分组成。,3,4,5,6,B
212,理想集成运放的差模输入电阻为(　)。,1MΩ,2MΩ,3MΩ,∞,D
213,固定偏置共射极放大电路，已知RB=300KΩ，RC=4KΩ，Vcc=12V，β=50，则ICQ为(　)。,2μA,3μA,2mA,3mA,C
214,固定偏置共射放大电路出现饱和失真，是(　)。,RB偏小,RB偏大,Rc偏小,Rc偏大,A
215,为了增加带负载能力，常用共集电极放大电路的(　)特性。,输入电阻大,输入电阻小,输出电阻大,输出电阻小,D
216,共射极放大电路的输出电阻比共基极放大电路的输出电阻是(　)。,大,小,相等,不定,C
217,要稳定输出电流，增大电路输入电阻应选用(　)负反馈。,电压串联,电压并联,电流串联,电流并联,C
218,下列集成运放的应用能将矩形波变为尖顶脉冲波的是(　)。,比例应用,加法应用,微分应用,比较器,C
219,单片集成功率放大器件的功率通常在(　)瓦左右。,10,1,5,8,B
220,RC选频振荡电路，能产生电路振荡的放大电路的放大倍数至少为(　)。,10,3,5,20,B
221,LC选频振荡电路达到谐振时，选频电路的相位移为(　)度。,0,90,180,-90,A
222,串联型稳压电路的调整管接成(　)电路形式。,共基极,共集电极,共射极,分压式共射极,B
223,CW78L05型三端集成稳压器件的输出电压及最大输出电流分别为(　)。,5V、1A,5V、0.1A,5V、0.5A,5V、1.5A,B
224,下列不属于三态门的逻辑状态的是(　)。,高电平,低电平,大电流,高阻,C
225,单相桥式可控整流电路中，控制角α越大，输出电压Ud(　)。,越大,越小,为零,越负,B
226,单相桥式可控整流电路电阻性负载，晶闸管中的电流平均值是负载的(　)倍。,0.5,1,2,0.25,A
227,单结晶体管触发电路输出(　)。,双脉冲,尖脉冲,单脉冲,宽脉冲,B
228,晶闸管电路中串入小电感的目的是(　)。,防止电流尖峰,防止电压尖峰,产生触发脉冲,产生自感电动势,A
229,晶闸管两端(　)的目的是防止电压尖峰。,串联小电容,并联小电容,并联小电感,串联小电感,B
230,熔断器的额定分断能力必须大于电路中可能出现的最大(　)。,短路电流,工作电流,过载电流,启动电流,A
231,控制和保护含半导体器件的直流电路中宜选用(　)断路器。,塑壳式,限流型,框架式,直流快速断路器,D
232,接触器的额定电流应不小于被控电路的(　)。,额定电流,负载电流,最大电流,峰值电流,A
233,中间继电器的选用依据是控制电路的电压等级、(　)、所需触点的数量和容量等。,电流类型,短路电流,阻抗大小,绝缘等级,A
234,根据机械与行程开关传力和位移关系选择合适的(　)。,电流类型,电压等级,接线型式,头部型式,D
235,选用LED指示灯的优点之一是(　)。,寿命长,发光强,价格低,颜色多,A
236,BK系列控制变压器通常用作机床控制电器局部(　)及指示的电源之用。,照明灯,电动机,油泵,压缩机,A
237,对于环境温度变化大的场合，不宜选用(　)时间继电器。,晶体管式,电动式,液压式,手动式,A
238,压力继电器选用时首先要考虑所测对象的压力范围，还要符合电路中的额定电压，所测管路(　)。,绝缘等级,电阻率,接口管径的大小,材料,C
